Type,patch,plot,litter,canopy,nitrogen,phosphorous,potassium,size,dist,age,lat,long
ABA,BBN,BBN1,6,91.68,1540,7.77,53.8,28.09447274,972.486565,NA,149292.4,362340.4
ABA,BBN,BBN1,5,84.4,1540,7.77,53.8,28.09447274,972.486565,NA,149292.4,362340.4
ABA,BBN,BBN2,4.5,81.28,1330,12.5,50.9,28.09447274,1089.668206,NA,149148.8,362248.6
ABA,BBN,BBN2,3,86.48,1330,12.5,50.9,28.09447274,1089.668206,NA,149148.8,362248.6
ABA,BBN,BBN2,3,84.4,1330,12.5,50.9,28.09447274,1089.668206,NA,149148.8,362248.6
ABA,BBN,BBN2,5,83.36,1330,12.5,50.9,28.09447274,1089.668206,NA,149148.8,362248.6
ABA,BBN,BBN2,4,76.08,1330,12.5,50.9,28.09447274,1089.668206,NA,149148.8,362248.6
ABA,BBN,BBN3,2,88.56,1190,11.5,27.1,28.09447274,1136.962409,NA,149122.4,362206.6
ABA,BBN,BBN3,2,83.36,1190,11.5,27.1,28.09447274,1136.962409,NA,149122.4,362206.6
ABA,BBN,BBN3,3,79.2,1190,11.5,27.1,28.09447274,1136.962409,NA,149122.4,362206.6
ABA,BBN,BBN3,2,77.12,1190,11.5,27.1,28.09447274,1136.962409,NA,149122.4,362206.6
ABA,BBN,BBN3,1,85.44,1190,11.5,27.1,28.09447274,1136.962409,NA,149122.4,362206.6
ABA,BBN,BBN4,3.5,97.92,1470,9.26,65.4,28.09447274,975.699236,NA,149231,362347
ABA,BBN,BBN4,4,96.88,1470,9.26,65.4,28.09447274,975.699236,NA,149231,362347
ABA,BBN,BBN4,5.5,91.68,1470,9.26,65.4,28.09447274,975.699236,NA,149231,362347
ABA,BBN,BBN4,4.5,88.56,1470,9.26,65.4,28.09447274,975.699236,NA,149231,362347
ABA,BBN,BBN4,4.5,94.8,1470,9.26,65.4,28.09447274,975.699236,NA,149231,362347
ABA,BBN,BBN5,3.5,91.68,2170,6.46,48.2,28.09447274,923.414987,NA,149270,362393.2
ABA,BBN,BBN5,1,94.8,2170,6.46,48.2,28.09447274,923.414987,NA,149270,362393.2
ABA,BBN,BBN5,5,86.48,2170,6.46,48.2,28.09447274,923.414987,NA,149270,362393.2
ABA,BBN,BBN5,2,87.52,2170,6.46,48.2,28.09447274,923.414987,NA,149270,362393.2
ABA,BBN,BBN5,2.5,88.56,2170,6.46,48.2,28.09447274,923.414987,NA,149270,362393.2
ABA,BBT,BBT1,3,85.44,1680,4.69,54.3,34.15591512,1612.353869,NA,149988.4,361693.2
ABA,BBT,BBT1,4,87.52,1680,4.69,54.3,34.15591512,1612.353869,NA,149988.4,361693.2
ABA,BBT,BBT1,1,87.52,1680,4.69,54.3,34.15591512,1612.353869,NA,149988.4,361693.2
ABA,BBT,BBT1,3,86.48,1680,4.69,54.3,34.15591512,1612.353869,NA,149988.4,361693.2
ABA,BBT,BBT1,6,85.44,1680,4.69,54.3,34.15591512,1612.353869,NA,149988.4,361693.2
ABA,BBT,BBT2,2.5,81.28,1750,3.04,29.6,34.15591512,1727.986689,NA,150241.4,361637.2
ABA,BBT,BBT2,3,72.96,1750,3.04,29.6,34.15591512,1727.986689,NA,150241.4,361637.2
ABA,BBT,BBT2,1.5,82.32,1750,3.04,29.6,34.15591512,1727.986689,NA,150241.4,361637.2
ABA,BBT,BBT2,2,85.44,1750,3.04,29.6,34.15591512,1727.986689,NA,150241.4,361637.2
ABA,BBT,BBT2,1.5,81.28,1750,3.04,29.6,34.15591512,1727.986689,NA,150241.4,361637.2
ABA,BBT,BBT3,5.5,84.92,2100,2.31,35.3,34.15591512,1679.315872,NA,150124.2,361656.6
ABA,BBT,BBT3,6,81.28,2100,2.31,35.3,34.15591512,1679.315872,NA,150124.2,361656.6
ABA,BBT,BBT3,5.5,84.92,2100,2.31,35.3,34.15591512,1679.315872,NA,150124.2,361656.6
ABA,BBT,BBT3,5,85.44,2100,2.31,35.3,34.15591512,1679.315872,NA,150124.2,361656.6
ABA,BBT,BBT3,3,85.7,2100,2.31,35.3,34.15591512,1679.315872,NA,150124.2,361656.6
ABA,BBT,BBT4,3,97.14,2240,6.03,60.6,34.15591512,1744.619351,NA,150391.2,361629.2
ABA,BBT,BBT4,4,97.4,2240,6.03,60.6,34.15591512,1744.619351,NA,150391.2,361629.2
ABA,BBT,BBT4,3,96.1,2240,6.03,60.6,34.15591512,1744.619351,NA,150391.2,361629.2
ABA,BBT,BBT4,3,96.88,2240,6.03,60.6,34.15591512,1744.619351,NA,150391.2,361629.2
ABA,BBT,BBT4,2,98.18,2240,6.03,60.6,34.15591512,1744.619351,NA,150391.2,361629.2
ABA,BBT,BBT5,2,79.2,2170,5.18,51.7,34.15591512,1889.87899,NA,150362.4,361480.8
ABA,BBT,BBT5,3.5,80.24,2170,5.18,51.7,34.15591512,1889.87899,NA,150362.4,361480.8
ABA,BBT,BBT5,0,78.16,2170,5.18,51.7,34.15591512,1889.87899,NA,150362.4,361480.8
ABA,BBT,BBT5,1.5,84.4,2170,5.18,51.7,34.15591512,1889.87899,NA,150362.4,361480.8
ABA,BBT,BBT5,5.5,86.48,2170,5.18,51.7,34.15591512,1889.87899,NA,150362.4,361480.8
WAS,BR,BR1,3,64.58,2730,14.3,82.7,16.28515178,11131.93092,30,148279.6,381654
WAS,BR,BR1,4,60.42,2730,14.3,82.7,16.28515178,11131.93092,30,148279.6,381654
WAS,BR,BR1,5,37.5,2730,14.3,82.7,16.28515178,11131.93092,30,148279.6,381654
WAS,BR,BR1,4,79.17,2730,14.3,82.7,16.28515178,11131.93092,30,148279.6,381654
WAS,BR,BR1,4,70.83,2730,14.3,82.7,16.28515178,11131.93092,30,148279.6,381654
WAS,BR,BR2,2.5,58.33,2660,6.79,82.7,16.28515178,11044.50207,30,148425.6,381572.6
WAS,BR,BR2,1.5,47.92,2660,6.79,82.7,16.28515178,11044.50207,30,148425.6,381572.6
WAS,BR,BR2,4,62.5,2660,6.79,82.7,16.28515178,11044.50207,30,148425.6,381572.6
WAS,BR,BR2,2.5,62.5,2660,6.79,82.7,16.28515178,11044.50207,30,148425.6,381572.6
WAS,BR,BR2,2,56.25,2660,6.79,82.7,16.28515178,11044.50207,30,148425.6,381572.6
WAS,BR,BR3,7.5,27.08,2100,11.4,102,16.28515178,11085.31864,30,148506.6,381616
WAS,BR,BR3,5.5,59.38,2100,11.4,102,16.28515178,11085.31864,30,148506.6,381616
WAS,BR,BR3,5,44.79,2100,11.4,102,16.28515178,11085.31864,30,148506.6,381616
WAS,BR,BR3,2,51.04,2100,11.4,102,16.28515178,11085.31864,30,148506.6,381616
WAS,BR,BR3,5,31.25,2100,11.4,102,16.28515178,11085.31864,30,148506.6,381616
WAS,BR,BR4,3,81.25,1680,12,134,16.28515178,11181.75807,30,148457.2,381711
WAS,BR,BR4,8.5,78.13,1680,12,134,16.28515178,11181.75807,30,148457.2,381711
WAS,BR,BR4,5,53.13,1680,12,134,16.28515178,11181.75807,30,148457.2,381711
WAS,BR,BR4,2.5,59.38,1680,12,134,16.28515178,11181.75807,30,148457.2,381711
WAS,BR,BR4,4.5,40.63,1680,12,134,16.28515178,11181.75807,30,148457.2,381711
WAS,BR,BR5,6.5,4.17,2240,9.19,104,16.28515178,11138.9874,30,148510.6,381669.8
WAS,BR,BR5,20,3.13,2240,9.19,104,16.28515178,11138.9874,30,148510.6,381669.8
WAS,BR,BR5,42,0,2240,9.19,104,16.28515178,11138.9874,30,148510.6,381669.8
WAS,BR,BR5,10.5,15.63,2240,9.19,104,16.28515178,11138.9874,30,148510.6,381669.8
WAS,BR,BR5,18,1.04,2240,9.19,104,16.28515178,11138.9874,30,148510.6,381669.8
ABA,CL,CL1,6,98.96,4690,131.6,119.6,37.47933935,2165.230602,NA,146821,364093.4
ABA,CL,CL1,5,94.8,4690,131.6,119.6,37.47933935,2165.230602,NA,146821,364093.4
ABA,CL,CL1,2,90.64,4690,131.6,119.6,37.47933935,2165.230602,NA,146821,364093.4
ABA,CL,CL1,2,88.56,4690,131.6,119.6,37.47933935,2165.230602,NA,146821,364093.4
ABA,CL,CL1,5,95.84,4690,131.6,119.6,37.47933935,2165.230602,NA,146821,364093.4
ABA,CL,CL2,3,95.84,1680,8.06,49.1,37.47933935,2326.245773,NA,146669.6,364378.8
ABA,CL,CL2,7,89.6,1680,8.06,49.1,37.47933935,2326.245773,NA,146669.6,364378.8
ABA,CL,CL2,6,93.76,1680,8.06,49.1,37.47933935,2326.245773,NA,146669.6,364378.8
ABA,CL,CL2,7.5,94.8,1680,8.06,49.1,37.47933935,2326.245773,NA,146669.6,364378.8
ABA,CL,CL2,3,94.8,1680,8.06,49.1,37.47933935,2326.245773,NA,146669.6,364378.8
ABA,CL,CL3,5,96.88,1960,87.4,91.2,37.47933935,2244.634179,NA,146746.6,363971.8
ABA,CL,CL3,4,93.76,1960,87.4,91.2,37.47933935,2244.634179,NA,146746.6,363971.8
ABA,CL,CL3,5,93.76,1960,87.4,91.2,37.47933935,2244.634179,NA,146746.6,363971.8
ABA,CL,CL3,3,96.88,1960,87.4,91.2,37.47933935,2244.634179,NA,146746.6,363971.8
ABA,CL,CL3,2,92.72,1960,87.4,91.2,37.47933935,2244.634179,NA,146746.6,363971.8
ABA,CL,CL4,6,96.88,1820,203.1,32.4,37.47933935,2211.073386,NA,146784.6,364371.6
ABA,CL,CL4,3.5,96.88,1820,203.1,32.4,37.47933935,2211.073386,NA,146784.6,364371.6
ABA,CL,CL4,5.5,95.84,1820,203.1,32.4,37.47933935,2211.073386,NA,146784.6,364371.6
ABA,CL,CL4,5,93.76,1820,203.1,32.4,37.47933935,2211.073386,NA,146784.6,364371.6
ABA,CL,CL4,7.5,96.88,1820,203.1,32.4,37.47933935,2211.073386,NA,146784.6,364371.6
ABA,CL,CL5,4,94.8,1890,28.9,84.4,37.47933935,2156.654983,NA,146829.4,364180.4
ABA,CL,CL5,5,91.68,1890,28.9,84.4,37.47933935,2156.654983,NA,146829.4,364180.4
ABA,CL,CL5,3,92.72,1890,28.9,84.4,37.47933935,2156.654983,NA,146829.4,364180.4
ABA,CL,CL5,4.5,97.92,1890,28.9,84.4,37.47933935,2156.654983,NA,146829.4,364180.4
ABA,CL,CL5,3,94.8,1890,28.9,84.4,37.47933935,2156.654983,NA,146829.4,364180.4
ABA,DO,DO1,2.5,90.64,1960,118.2,96.9,16.87663775,3674.128843,NA,145338,363687.6
ABA,DO,DO1,3.5,87.52,1960,118.2,96.9,16.87663775,3674.128843,NA,145338,363687.6
ABA,DO,DO1,5,88.56,1960,118.2,96.9,16.87663775,3674.128843,NA,145338,363687.6
ABA,DO,DO1,2,87.52,1960,118.2,96.9,16.87663775,3674.128843,NA,145338,363687.6
ABA,DO,DO1,4,84.4,1960,118.2,96.9,16.87663775,3674.128843,NA,145338,363687.6
ABA,DO,DO2,6,35.52,1260,12.1,98.3,16.87663775,3553.798745,NA,145464.6,363628.4
ABA,DO,DO2,4,63.6,1260,12.1,98.3,16.87663775,3553.798745,NA,145464.6,363628.4
ABA,DO,DO2,5,63.6,1260,12.1,98.3,16.87663775,3553.798745,NA,145464.6,363628.4
ABA,DO,DO2,3,51.12,1260,12.1,98.3,16.87663775,3553.798745,NA,145464.6,363628.4
ABA,DO,DO2,6,43.84,1260,12.1,98.3,16.87663775,3553.798745,NA,145464.6,363628.4
ABA,DO,DO3,6,85.44,1820,8.75,94.1,16.87663775,3528.15113,NA,145497.6,363552.2
ABA,DO,DO3,8,88.56,1820,8.75,94.1,16.87663775,3528.15113,NA,145497.6,363552.2
ABA,DO,DO3,9,91.68,1820,8.75,94.1,16.87663775,3528.15113,NA,145497.6,363552.2
ABA,DO,DO3,6,86.48,1820,8.75,94.1,16.87663775,3528.15113,NA,145497.6,363552.2
ABA,DO,DO3,5,88.56,1820,8.75,94.1,16.87663775,3528.15113,NA,145497.6,363552.2
ABA,DO,DO4,0,87.52,1680,92.1,87.6,16.87663775,3800.823684,NA,145199.2,363798.8
ABA,DO,DO4,5,82.32,1680,92.1,87.6,16.87663775,3800.823684,NA,145199.2,363798.8
ABA,DO,DO4,4.5,86.48,1680,92.1,87.6,16.87663775,3800.823684,NA,145199.2,363798.8
ABA,DO,DO4,2,78.16,1680,92.1,87.6,16.87663775,3800.823684,NA,145199.2,363798.8
ABA,DO,DO4,4,81.28,1680,92.1,87.6,16.87663775,3800.823684,NA,145199.2,363798.8
ABA,DO,DO5,6,87.52,2030,195.9,93.5,16.87663775,3732.293948,NA,145262.4,363870.4
ABA,DO,DO5,1,75.04,2030,195.9,93.5,16.87663775,3732.293948,NA,145262.4,363870.4
ABA,DO,DO5,0.5,87.52,2030,195.9,93.5,16.87663775,3732.293948,NA,145262.4,363870.4
ABA,DO,DO5,1,91.68,2030,195.9,93.5,16.87663775,3732.293948,NA,145262.4,363870.4
ABA,DO,DO5,2,83.36,2030,195.9,93.5,16.87663775,3732.293948,NA,145262.4,363870.4
ABA,GA,GA1,8,83.88,2030,9.44,20.8,57.41109022,161.592697,NA,149839.4,368735.8
ABA,GA,GA1,3.5,82.32,2030,9.44,20.8,57.41109022,161.592697,NA,149839.4,368735.8
ABA,GA,GA1,2,82.58,2030,9.44,20.8,57.41109022,161.592697,NA,149839.4,368735.8
ABA,GA,GA1,3,79.2,2030,9.44,20.8,57.41109022,161.592697,NA,149839.4,368735.8
ABA,GA,GA1,4.5,86.22,2030,9.44,20.8,57.41109022,161.592697,NA,149839.4,368735.8
ABA,GA,GA2,5.5,84.4,2100,10.9,20.4,57.41109022,486.302498,NA,150133.6,368894.4
ABA,GA,GA2,7,89.08,2100,10.9,20.4,57.41109022,486.302498,NA,150133.6,368894.4
ABA,GA,GA2,4.5,84.92,2100,10.9,20.4,57.41109022,486.302498,NA,150133.6,368894.4
ABA,GA,GA2,6.5,81.54,2100,10.9,20.4,57.41109022,486.302498,NA,150133.6,368894.4
ABA,GA,GA2,3,84.4,2100,10.9,20.4,57.41109022,486.302498,NA,150133.6,368894.4
ABA,GA,GA3,3,83.62,1820,8.11,34.3,57.41109022,83.038786,NA,149622.2,369092
ABA,GA,GA3,2,83.1,1820,8.11,34.3,57.41109022,83.038786,NA,149622.2,369092
ABA,GA,GA3,2.5,84.4,1820,8.11,34.3,57.41109022,83.038786,NA,149622.2,369092
ABA,GA,GA3,4,81.28,1820,8.11,34.3,57.41109022,83.038786,NA,149622.2,369092
ABA,GA,GA3,5.5,84.66,1820,8.11,34.3,57.41109022,83.038786,NA,149622.2,369092
ABA,GA,GA4,2,80.76,2240,8.87,40.4,57.41109022,220.617315,NA,149972,368681
ABA,GA,GA4,1,79.46,2240,8.87,40.4,57.41109022,220.617315,NA,149972,368681
ABA,GA,GA4,0.5,80.24,2240,8.87,40.4,57.41109022,220.617315,NA,149972,368681
ABA,GA,GA4,2.5,84.14,2240,8.87,40.4,57.41109022,220.617315,NA,149972,368681
ABA,GA,GA4,2.5,77.64,2240,8.87,40.4,57.41109022,220.617315,NA,149972,368681
ABA,GA,GA5,7.5,87,3430,10.6,50.4,57.41109022,173.980458,NA,149812.6,368830.8
ABA,GA,GA5,3.5,81.02,3430,10.6,50.4,57.41109022,173.980458,NA,149812.6,368830.8
ABA,GA,GA5,2.5,90.12,3430,10.6,50.4,57.41109022,173.980458,NA,149812.6,368830.8
ABA,GA,GA5,3,85.18,3430,10.6,50.4,57.41109022,173.980458,NA,149812.6,368830.8
ABA,GA,GA5,3,83.36,3430,10.6,50.4,57.41109022,173.980458,NA,149812.6,368830.8
WAS,IK,IK1,19,21.61,840,3.11,56,23.20168782,11324.27196,12,151686.6,381499.8
WAS,IK,IK1,7,56.77,840,3.11,56,23.20168782,11324.27196,12,151686.6,381499.8
WAS,IK,IK1,2.5,80.73,840,3.11,56,23.20168782,11324.27196,12,151686.6,381499.8
WAS,IK,IK1,1.5,80.99,840,3.11,56,23.20168782,11324.27196,12,151686.6,381499.8
WAS,IK,IK1,2,85.94,840,3.11,56,23.20168782,11324.27196,12,151686.6,381499.8
WAS,IK,IK2,3,85.2,2590,15.3,124,23.20168782,11550.16947,12,151701.4,381729.2
WAS,IK,IK2,4.5,90.9,2590,15.3,124,23.20168782,11550.16947,12,151701.4,381729.2
WAS,IK,IK2,4,90.9,2590,15.3,124,23.20168782,11550.16947,12,151701.4,381729.2
WAS,IK,IK2,2,87.8,2590,15.3,124,23.20168782,11550.16947,12,151701.4,381729.2
WAS,IK,IK2,4.5,93,2590,15.3,124,23.20168782,11550.16947,12,151701.4,381729.2
WAS,IK,IK3,1,83.59,2870,10.2,104,23.20168782,11337.00505,12,151801.8,381482.6
WAS,IK,IK3,2,57.55,2870,10.2,104,23.20168782,11337.00505,12,151801.8,381482.6
WAS,IK,IK3,1,81.51,2870,10.2,104,23.20168782,11337.00505,12,151801.8,381482.6
WAS,IK,IK3,2,84.64,2870,10.2,104,23.20168782,11337.00505,12,151801.8,381482.6
